223.30.216.76 - - [30/Mar/2023:07:13:42 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:13:43 +0000] "GET /favicon.ico HTTP/1.1" 500 2539 "http://100.26.195.139/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:13:43 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:13:44 +0000] "GET /favicon.ico HTTP/1.1" 500 2539 "http://100.26.195.139/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:13:44 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:13:45 +0000] "GET /favicon.ico HTTP/1.1" 500 2539 "http://100.26.195.139/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:13:46 +0000] "GET / HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
223.30.216.76 - - [30/Mar/2023:07:13:46 +0000] "GET /favicon.ico HTTP/1.1" 500 2539 "http://100.26.195.139/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:42 +0000] "GET /phpmyadmin2013/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:42 +0000] "GET /db/myadmin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:43 +0000] "GET /sql/phpMyAdmin2/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:43 +0000] "GET /phpmyadmin4/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:43 +0000] "GET /index.php?lang=en HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:43 +0000] "GET /phpMyAdmin5/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:43 +0000] "GET /phpmyadmin2011/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:43 +0000] "GET /administrator/admin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:43 +0000] "GET /db/dbweb/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:44 +0000] "GET /phpmyadmin2020/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
